trackName,endTime,artistName,msPlayed,uri,duracion_ms,popularidad,danceability,loudness,energy,liveness
Mala Mía,2022-11-07 19:53,LIT killah,381856,62o8KoI44JfN7aYxgTnPvh,183752,68,0.749,-4.883,0.752,0.232
Mala Vida,2022-07-01 17:47,Nicki Nicole,673193,3SzBLvShr2FKp1qSaqK6cm,160423,55,0.521,-5.101,0.675,0.299
Malbec,2022-08-01 20:05,Duki,979178,6KEb17S00Inf0v1qYDgUAj,175890,72,0.705,-6.476,0.692,0.13
Malibu de Coco,2022-11-27 20:55,Oscu,138041,0I1eXIH6Y4pjr3GmDrfYhl,138041,57,0.798,-7.501,0.77,0.1
Me Gusta,2022-09-14 13:26,Nicki Nicole,941000,3NXh44Beby7IYMYyOgdLPm,158267,49,0.692,-8.287,0.491,0.156
Me Has Dejado,2022-08-18 22:23,Nicki Nicole,484570,6ojA83SXbJ5BKpJucn3j6R,242285,55,0.542,-4.904,0.736,0.0947
Me Rehúso,2023-02-16 12:51,Danny Ocean,1504366,6De0lHrwBfPfrhorm9q1Xl,205714,79,0.744,-6.327,0.804,0.0494
Me haces bien,2022-07-01 18:43,Jorge Drexler,329135,4UKe38tm5NkRpuFCxwewEe,184546,63,0.404,-10.381,0.607,0.155
Miénteme,2022-10-17 22:34,TINI,397146,0cOa970mzTWAxKtltpkpLc,165275,78,0.85,-4.522,0.541,0.286
Mood,2022-08-07 04:31,Facundo Majdalani,170808,2ISzmtY9Exy1IwmJj3Hc7P,176000,62,0.798,-2.63,0.704,0.127
Movie,2022-07-30 13:56,Tom Misch,703519,6pxElwU80zhjbCC77Vn8EI,357357,4,0.785,-11.446,0.379,0.267
Ms. Jackson,2022-07-01 16:53,Outkast,271453,0I3q5fE6wg7LIfHGngUTnV,270506,84,0.843,-5.946,0.806,0.0771
Muerte En Hawaii,2023-01-18 12:46,Calle 13,242720,3kNVYo6BJE9AENxzokM9YC,189866,74,0.675,-7.168,0.588,0.95
Muñecas,2023-01-13 22:29,TINI,3877898,1PAvhqefivTNdxZ4u8RT1d,156318,77,0.681,-4.79,0.711,0.312
NO VA A BAJAR,2022-09-13 18:19,WOS,202268,3wNiMUFSp0H7zF7QH4vCPq,202268,53,0.704,-3.658,0.656,0.15
Nadir,2022-10-01 21:10,Zeballos,11114,7hE9Q5k72F6b5qu2jrinpl,257431,3,0.559,-6.836,0.66,0.11
"Nathy Peluso: Bzrp Music Sessions, Vol. 36",2022-06-05 01:37,Bizarrap,733960,78SeXVRJ7KCqVmOwTiFjnI,171215,73,0.65,-3.71,0.655,0.0691
New Man,2022-11-04 17:01,Ed Sheeran,189280,5HDPtsnyb3maFmPL8LLUTG,189280,66,0.78,-3.97,0.745,0.0595
"Nicki Nicole: Bzrp Music Sessions, Vol. 13",2022-07-12 21:18,Bizarrap,1303280,2S93hylQBYLndMnaJuso8S,143291,72,0.81,-5.047,0.471,0.134
