artist,album,track,uri,duracion_ms,popularidad,danceability,loudness,energy,liveness
Gym Class Heroes,The Papercut Chronicles II,Stereo Hearts (feat. Adam Levine),0qOnSQQF0yzuPWsXrQ9paz,210960,83,0.646,-3.293,0.795,0.267
Olivia Rodrigo,good 4 u,good 4 u,6PERP62TejQjgHu81OHxgM,178147,24,0.556,-5.052,0.661,0.101
JP Saxe,If the World Was Ending (feat. Julia Michaels),If the World Was Ending (feat. Julia Michaels),2kJwzbxV2ppxnQoYw4GLBZ,208687,79,0.464,-10.086,0.473,0.109
Edward Sharpe & The Magnetic Zeros,Up from Below,Home,7w5cxTEzp1rfV3KCy0Bd5N,303200,71,0.542,-6.623,0.589,0.177
Zac Efron,Rewrite The Stars,Rewrite The Stars,630sXRhIcfwr2e4RdNtjKN,217440,75,0.684,-7.005,0.619,0.122
Sara Kays,A House Too Big,Rich Boy,6fAF2lOiZ86UNlY1Nth9tW,177264,41,0.5,-8.707,0.46,0.0883
Avicii,The Days / Nights,The Nights,0ct6r3EGTcMLPtrXHDvVjc,176658,88,0.527,-5.298,0.835,0.249
Facemask Time,Heather X a Thousand Years,Heather X a Thousand Years,6fdcFwUFdVX2MI3nWFPRCx,176274,0,0.396,-8.974,0.28,0.131
Tai Verdes,A-O-K,A-O-K,4CbrNGvwVjneG8Nk9YQqMR,173640,2,0.731,-6.919,0.626,0.183
Ludovico Einaudi,Una Mattina,Nuvole bianche,3aLof1zmaQ0GLcAc9YQ3Fq,357706,0,0.177,-25.377,0.06,0.103
James Arthur,Back from the Edge,Train Wreck,55Am8neGJkdj2ADaM3aw5H,208826,83,0.311,-5.726,0.485,0.0726
Ruelle,I Get to Love You,I Get to Love You,3CV4lFELdziNM1OnHU8nwz,239362,65,0.335,-6.225,0.251,0.111
Ed Sheeran,The Fault In Our Stars: Music From The Motion Picture,All of the Stars,3SZLtkoHoECHHuOnNkNCuS,234986,67,0.436,-6.106,0.562,0.198
Taylor Swift,Hannah Montana The Movie,Crazier,5vyxXfD5gLlyPxGZMEjtmd,191946,69,0.452,-5.423,0.544,0.104
Anson Seabra,Peter Pan Was Right,Peter Pan Was Right,2At18rPHOuTEjGEppwGV0A,192497,72,0.661,-7.74,0.517,0.116
Alessia Cara,Know-It-All,River Of Tears,3ArYVrRb0lDBLzuJJqIXzC,254506,63,0.389,-5.72,0.373,0.146
lovelytheband,finding it hard to smile,broken,6XcfKZvJio9Z0fQy11GnNX,204878,71,0.666,-5.808,0.728,0.0429
Jeremy Zucker,love is not dying,you were good to me (bonus track),0JnSoyZMTYZLWFVdVT1JFZ,219146,1,0.469,-15.489,0.08,0.112
Anson Seabra,Unloving You,Unloving You,2w9nvs1ByWUGkED4M0ug34,153863,67,0.765,-9.616,0.393,0.142
MARINA,About Love,About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,4XII12nbsvJblXfG1I2QR4,214106,63,0.636,-5.567,0.758,0.16
One Direction,Take Me Home: Yearbook Edition,Over Again,4RC5YmcpCbRsX3AtRzoQeh,182200,0,0.545,-6.753,0.556,0.131
Lauren Spencer Smith,Flowers,Flowers,6Z165JvPnS8PYvGW8oLGLc,157373,78,0.684,-9.738,0.449,0.0881
Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Hold Me While You Wait,60iSKGrGazRzICtMjADNSM,205686,80,0.688,-5.507,0.53,0.0995
Selena Gomez,Rare,People You Know,63mdJr3NMY3wReOkNE6c6W,194900,81,0.695,-8.082,0.62,0.111
Julia Michaels,Inner Monologue Part 1,What A Time (feat. Niall Horan),5WtfUKzXircvW8l5aaVZWT,173306,80,0.516,-6.184,0.467,0.0853
Jesse & Joy,Un Besito Más,Ecos De Amor,3lI5dscCDez8cF6LF3Me7F,215112,72,0.248,-2.964,0.75,0.211
James Bay,Oh My Messy Mind,Peer Pressure,4RE3vueod5PL48rvHtuu9C,176826,69,0.631,-6.083,0.715,0.122
Clara Mae,Not Sad Anymore,Not Sad Anymore,1AHa2iLVTyjMisXwg0oMh1,195563,60,0.675,-7.598,0.523,0.109
Ruel,Free Time,Hard Sometimes,0D2xguFRqCF0OUqXCkqrpU,269493,63,0.407,-7.895,0.317,0.139
Home,Odyssey,Resonance,65r94rVdiMwqXyQFEr3tqT,212881,71,0.566,-8.614,0.74,0.221
Adele,25,Love In The Dark,7B5Npv8NjjTCzk8PLpU66h,285935,78,0.331,-6.057,0.341,0.109
Loren Allred,The Greatest Showman (Original Motion Picture Soundtrack),Never Enough,0Gl5s8IhMmQE5YQwM8Qx1J,207786,76,0.277,-8.903,0.394,0.0952
Lauren Spencer Smith,Fingers Crossed,Fingers Crossed,5S9Zs5g9lTWnLIboN1pdlU,175344,2,0.603,-7.23,0.473,0.31
Olivia Rodrigo,drivers license,drivers license,7lPN2DXiMsVn7XUKtOW1CS,242013,29,0.585,-8.761,0.436,0.105
Sam Fischer,Dancing With The Devil…The Art of Starting Over,What Other People Say (with Sam Fischer),2tsI8snJhb4BL9zczvlZmL,194890,45,0.652,-8.084,0.472,0.12
Selena Gomez,13 Reasons Why,Back To You,514rhnksEwHUh6LxXsQ4Y9,210240,73,0.6,-6.271,0.683,0.11
Michael Schulte,Hold the Rhythm,Falling Apart,0aIW3ekrhK1eh3BYCh11op,198573,76,0.543,-9.355,0.333,0.168
Oh Wonder,Oh Wonder,White Blood,3sZfQB5uYTJmA4QnB8dv7P,257426,59,0.477,-14.402,0.229,0.196
Leyla Blue,What A Shame,What A Shame,7FGIEAVXfegxngH9Jg6VwA,177200,70,0.699,-7.828,0.463,0.0803
Tom Odell,Long Way Down (Deluxe),Heal,4KlL5Bwlm4yHYxr0B2rHci,193080,74,0.445,-12.938,0.179,0.107
pearl,ceilings - sped up + reverb,ceilings - sped up + reverb,0akIVqzM6zzbzZmCXQCp7i,165708,60,0.386,-17.487,0.321,0.115
Hailee Steinfeld,Half Written Story,Wrong Direction,5Qsp8mtshe70DX7EYbWZGo,248986,66,0.39,-9.017,0.388,0.157
Brenn!,4runner,4runner,1RaF9xwakfao1RRknWyYB5,265453,78,0.792,-10.519,0.518,0.406
Olivia Rodrigo,SOUR,favorite crime,5JCoSi02qi3jJeHdZXMmR8,152666,86,0.369,-10.497,0.272,0.147
Dean Lewis,A Place We Knew,7 Minutes,6FYbr9QzRoZPh0Re8lDO9z,211453,63,0.613,-6.478,0.739,0.149
Haiden,Sorry to Your Next Ex,Sorry to Your Next Ex,3MmSF1hLnAHBrpF4A0fY9d,169613,53,0.633,-4.812,0.777,0.0816
Selena Gomez,Pop Royalty,Lose You To Love Me,2FeGfLRrUIMwybTplG0AWj,206458,3,0.516,-8.985,0.342,0.21
Stephen Sanchez,Until I Found You,Until I Found You,0T5iIrXA4p5GsubkhuBIKV,177720,86,0.539,-6.05,0.508,0.174
Lewis Capaldi,Wish You The Best,Wish You The Best,3W5KHP0Yr56ejVDns9vci3,210880,80,0.678,-3.607,0.48,0.0954
Justin Bieber,Justice,Ghost,6I3mqTwhRpn34SLVafSH7G,153190,89,0.601,-5.569,0.741,0.415
