artist,album,track,uri,duracion_ms,popularidad,danceability,loudness,energy,liveness
Lily James,Cinderella,A Dream Is a Wish Your Heart Makes,1Os60uMeNl7vc3tYz342nR,120546,0,0.238,-18.044,0.0839,0.0814
Adele,21,Set Fire to the Rain,73CMRj62VK8nUS4ezD2wvi,242973,83,0.603,-3.882,0.67,0.112
No Te Va Gustar,El Calor del Pleno Invierno,Ese Maldito Momento,4xEAPLGnp20PYUlhbKHuTF,186306,0,0.637,-6.205,0.601,0.0897
Foster The People,Torches,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,239600,85,0.733,-5.849,0.71,0.0956
Why Don't We,Unbelievable,Unbelievable,3anNizayrIeuVv3Mb2KnIR,189384,0,0.532,-7.138,0.66,0.0996
Zeballos,Asimetría,Te lo Advertí,3IQs81vxBSPrdSUVe9rXF9,254884,40,0.561,-9.448,0.624,0.139
KVSH,Tokyo Drift,Tokyo Drift,20WcuVfTh0QFkIsJUncdON,222857,2,0.844,-4.851,0.767,0.166
Dolly Parton,Jolene,Jolene,2SpEHTbUuebeLkgs9QB7Ue,161533,76,0.674,-10.971,0.537,0.131
Sech,911,911,2TksvaRivgAEj780DgRB73,215891,70,0.795,-3.815,0.655,0.296
Milky Chance,Blossom,Cold Blue Rain,0UjhFrd7zuys6fqh439ufX,297320,45,0.642,-8.059,0.6,0.0945
Río Roma,Otra Vida,Mi Persona Favorita,70fVcEP5pRrxaIICY3DcPe,190480,71,0.562,-4.774,0.729,0.0868
Khalid,Free Spirit,Alive,12VqHHz4wvVcnEdSivjLeQ,177413,56,0.386,-10.419,0.406,0.171
Julie Fowlis,Disney-Pixar All Time Favorites,"Into The Open Air - From ""Brave"" / Soundtrack Version",1NjrOiC3KlEovbhGkyRLMT,160586,0,0.493,-7.468,0.491,0.12
Bazzi,Beautiful,Beautiful,1OilOIju6R9ia8vilNjChh,178242,0,0.666,-5.743,0.677,0.0979
Angela Torres,Simona (Music from the TV Series),Mi destino,4DnXbiQ6DlwHk0Kb3iZTQC,240478,26,0.464,-5.709,0.642,0.135
Chelsea Cutler,brent,please,0TzeZppPwhEhySYaNRulr9,219066,58,0.718,-15.82,0.166,0.131
Dímelo Flow,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",684EjRHwNsZQ9hCQxL4NYL,233112,61,0.747,-3.234,0.647,0.112
21 Savage,SAVAGE MODE II,Runnin,5SWnsxjhdcEDc7LJjq9UHk,195906,85,0.819,-4.574,0.626,0.167
James Arthur,You Deserve Better / At My Weakest,At My Weakest,6rcTyXe8W8kjQLyALBRj1v,217293,55,0.636,-8.346,0.433,0.123
TINI,Bar,Bar,0lJE8f0lx8mUSfMyxeYpiC,160212,70,0.523,-3.802,0.691,0.327
Ha*Ash,HA-ASH Primera Fila - Hecho Realidad,Ex de Verdad - HA-ASH Primera Fila - Hecho Realidad [En Vivo],40lU8uy8xKKRAP9A1N3BqH,247760,73,0.722,-4.796,0.682,0.954
Duko,Lola,Lola,0icidvfDmXmaS5vMQlIPF8,167042,62,0.843,-7.665,0.567,0.0566
Camilo,Ropa Cara,Ropa Cara,7BIy3EGQhg98CsRdKYHnJC,163320,62,0.813,-4.787,0.526,0.11
WOS,LIVE SET,ALMA DINAMITA - Live Set,22e93nNiMUPVqeNHh7FnrS,252071,48,0.44,-6.801,0.751,0.303
Brayan Daniel,"Mis Covers, Vol. 1","Recuérdame ""Coco""",4nJcE8oxTz21VUwBWOm3qk,157500,0,0.539,-11.108,0.166,0.279
Chano,Claramente,Claramente,73vVORScUIi8QuYSO7dC47,160800,36,0.466,-8.611,0.462,0.0704
Ariana Grande,Sweetener,the light is coming (feat. Nicki Minaj),0sdbFOyfgAhAhWq8DpzkaW,228373,62,0.877,-5.705,0.547,0.028
Jacob Sartorius,Left Me Hangin',Nothin' With You,4wa1M7imCi4RYuEQbAdube,214565,19,0.791,-8.131,0.365,0.323
FMK,De Vacaciones,De Vacaciones,0hRKaSIym7bBRZ5oXLUsfx,141702,57,0.686,-4.338,0.514,0.473
Maluma,"Pretty Boy, Dirty Boy",¿Dónde Estás? (feat. Farruko),0s3JGOUVkEBDSD4oBGUHSv,197493,50,0.733,-3.571,0.75,0.446
WOS,PUAJ (sesión),PUAJ (sesión),6fTxvdEyWl3zZg2XTWO4s8,156665,57,0.712,-2.93,0.916,0.499
Abel Pintos,11,Oncemil,3y5ahYM9zwyOCt3mieZ0PZ,221080,62,0.633,-3.313,0.698,0.146
The Kid LAROI,F*CK LOVE (SAVAGE),NOT FAIR (feat. Corbin),7E7JTt9rsLPcZcakQcTZXA,166688,7,0.412,-5.535,0.657,0.318
David Guetta,2U,2U,762UXiwEHYY97VL45sAUPR,194906,63,0.551,-5.828,0.651,0.224
Years & Years,Palo Santo,All For You,2ehnD9UaRVYK6GeUmBFCez,219640,53,0.65,-4.365,0.718,0.106
Ozuna,"Baila Baila Baila (Remix) [feat. Farruko, Anuel Aa]",Baila Baila Baila - Remix,7mWFF4gPADjTQjC97CgFVt,235284,78,0.785,-7.504,0.572,0.218
Trueno,BIEN O MAL,BIEN O MAL,4n0MBJuHpZ9dnD1BtsOIxB,176629,64,0.75,-4.992,0.64,0.122
Lauv,"fuck, i’m lonely (stripped)","fuck, i’m lonely - stripped",7ewJnOo2axdRsQhEwR9i9x,187333,0,0.735,-6.842,0.378,0.0737
Abel Pintos,Sueño Dorado,No Me Olvides,2Pq3bGuvCa1beNMrBxgcKT,212373,59,0.462,-7.219,0.612,0.131
Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),2Cd9iWfcOpGDHLz6tVA3G4,202626,22,0.766,-6.381,0.873,0.0764
